test_index,n_atoms,masked_atoms,base_prediction,cli_prediction,prediction_abs_diff,saliency_change,ig_change,random_change_mean,saliency_wins_random,ig_wins_random
315,19,4,1.9160492420196533,1.9160495,2.579803466407071e-07,0.7937668561935425,0.7937668561935425,0.5412258803844452,True,True
542,25,5,2.2470474243164062,2.2470474,2.4316406221913667e-08,0.1061244010925293,0.01409149169921875,0.3058503448963165,False,False
551,28,6,2.1872310638427734,2.187231,6.384277329019028e-08,0.26937055587768555,0.016785860061645508,0.18023502826690674,True,False
216,25,5,1.1722078323364258,1.1722078,3.233642575928286e-08,0.6582965850830078,0.7689611911773682,0.25738549828529356,True,True
427,25,5,1.4156099557876587,1.4156101,1.4421234140193917e-07,0.11128604412078857,0.4854617118835449,0.28234070241451265,False,True
135,29,6,1.8623533248901367,1.8623533,2.489013661843842e-08,0.0441746711730957,0.16994524002075195,0.2501555740833282,False,False
387,25,5,1.2180763483047485,1.2180763,4.830474864547796e-08,0.47794926166534424,0.6030532121658325,0.16131041049957276,True,True
123,35,7,1.8530851602554321,1.8530853,1.397445679174325e-07,0.37159621715545654,0.5784034729003906,0.3303815543651581,True,True
317,25,5,1.1734455823898315,1.1734455,8.238983162378588e-08,0.2993025779724121,0.2993025779724121,0.18822589218616487,True,True
555,29,6,1.927005648612976,1.9270058,1.5138702402772708e-07,0.5835185050964355,0.21394431591033936,0.7381922125816345,False,False
467,16,4,0.661835789680481,0.6618358,1.0319519017087941e-08,0.10940921306610107,0.5896539688110352,0.1569257915019989,False,True
559,28,6,2.7274343967437744,2.7274342,1.9674377460532355e-07,1.220759630203247,1.3601727485656738,1.0079144299030305,True,True
78,23,5,0.9892125129699707,0.9892125,1.2969970653031737e-08,1.112095594406128,0.7642760276794434,0.42054959535598757,True,True
366,20,4,2.1066975593566895,2.1066973,2.593566894582011e-07,1.1837660074234009,1.0722880363464355,0.6162950932979584,True,True
350,35,7,1.307995080947876,1.3079951,1.9052124100582546e-08,0.5635404586791992,0.6660995483398438,0.2878019154071808,True,True
262,19,4,1.223785400390625,1.2237853,1.0039062492417372e-07,0.49359452724456787,0.8241837024688721,0.2715803921222687,True,True
557,18,4,1.43952476978302,1.4395248,3.021698002925177e-08,0.3147352933883667,0.5001803636550903,0.2361335813999176,True,True
267,18,4,0.7582087516784668,0.75820875,1.6784668099845135e-09,0.9812817573547363,1.2194666862487793,0.23514568209648132,True,True
448,19,4,1.2159560918807983,1.2159561,8.119201755363292e-09,0.2273956537246704,1.0350083112716675,0.21200353503227234,True,True
147,21,5,1.1009533405303955,1.1009533,4.0530395484239534e-08,0.6328891515731812,0.3972153663635254,0.34484030604362487,True,True
322,19,4,0.7622116208076477,0.7622117,7.919235234243871e-08,0.9031516909599304,0.8517884612083435,0.20955329835414888,True,True
438,20,4,0.8826087713241577,0.8826089,1.2867584231468499e-07,0.7104929685592651,1.1221448183059692,0.27010380625724795,True,True
100,22,5,0.8385044932365417,0.83850455,5.676345826710616e-08,1.047114908695221,1.2735453248023987,0.3478463560342789,True,True
